Invoice Date,Customer Code,Material Code,Total
4/30/2016,100922,143270,3
4/30/2016,100922,143308,14
4/30/2016,100922,143323,15
4/30/2016,100922,221880,5
4/30/2016,100922,222757,3
4/30/2016,100922,436259,5
4/30/2016,100922,436260,9
4/30/2016,100922,442829,3
4/30/2016,103374,143169,3
4/30/2016,103374,180201,6
4/30/2016,103374,187550,12
4/30/2016,103374,306582,3
4/30/2016,103374,306693,3
4/30/2016,114602,143127,19
4/30/2016,114602,143195,15
4/30/2016,114602,143308,20
4/30/2016,114602,180187,14
4/30/2016,114602,182017,8
4/30/2016,114602,220724,11
4/30/2016,114602,220726,10
4/30/2016,114602,470248,12
4/30/2016,115048,180187,6
4/30/2016,115048,180201,12
4/30/2016,115048,182017,3
4/30/2016,115048,182187,6
4/30/2016,115048,186547,27
4/30/2016,115048,228913,6
4/30/2016,115048,436231,12
4/30/2016,115048,436261,12
4/30/2016,115048,436262,17
4/30/2016,115048,442282,3
4/30/2016,117061,182017,6
4/30/2016,117061,182187,17
4/30/2016,117061,186547,23
4/30/2016,117061,195051,6
4/30/2016,122331,180187,15
4/30/2016,122331,222756,9
4/30/2016,122875,195051,3
4/30/2016,122875,220707,3
4/30/2016,122875,220708,12
4/30/2016,122875,220719,3
4/30/2016,122875,220727,3
4/30/2016,122875,220729,9
4/30/2016,122875,221068,6
4/30/2016,122875,221070,3
4/30/2016,122875,222756,3
4/30/2016,122875,231213,5
4/30/2016,122875,436231,4
4/30/2016,128543,180187,17
4/30/2016,128543,180190,14
4/30/2016,128543,180202,16
4/30/2016,128543,187548,20
4/30/2016,128543,192794,2
4/30/2016,128543,195051,19
4/30/2016,128543,436262,26
4/30/2016,150962,222758,3
4/30/2016,150962,231232,6
4/30/2016,160245,184006,13
4/30/2016,160245,442282,4
4/30/2016,162906,220725,3
4/30/2016,165873,143196,9
4/30/2016,165873,143197,18
4/30/2016,165873,187548,21
4/30/2016,165873,222755,3
4/30/2016,165873,222758,3
4/30/2016,165873,228913,7
4/30/2016,813502,180187,25
4/30/2016,813502,180199,12
4/30/2016,813502,184006,3
4/30/2016,813502,186547,18
4/30/2016,813502,306580,4
4/30/2016,813502,436231,9
4/30/2016,813502,436261,23
4/30/2016,817901,180189,9
4/30/2016,817901,180199,3
4/30/2016,817901,180201,3
4/30/2016,817901,182017,3
4/30/2016,817901,187550,17
4/30/2016,817901,220724,6
4/30/2016,817901,220725,3
4/30/2016,817901,220729,6
4/30/2016,817901,221068,3
4/30/2016,817901,221070,3
4/30/2016,817901,436294,2
4/30/2016,817901,442282,3
4/30/2016,847471,180187,9
4/30/2016,847471,180199,26
4/30/2016,847471,187549,30
4/30/2016,847471,187550,21
4/30/2016,847471,220719,6
4/30/2016,847471,228913,6
4/30/2016,847471,231213,3
4/30/2016,856737,143141,3
4/30/2016,856737,143143,3
4/30/2016,856737,143144,10
4/30/2016,856737,143169,3
4/30/2016,856737,143175,3
4/30/2016,856737,143195,4
4/30/2016,856737,143223,3
4/30/2016,856737,503657,4
4/30/2016,868275,143115,3
